"codigo_nacional","grupo","periodo"
"04900002-2","sacbad","1988-2024"
"04900003-0","sacbad","1988-2024"
"04902003-1","sacbad","1988-2024"
"05100006-4","sacbad","1988-2024"
"05110003-4","sacbad","1988-2024"
"05111001-3","sacbad","1988-2024"
"05111002-1","sacbad","1988-2024"
"05111004-8","sacbad","1988-2024"
"05120003-9","sacbad","1988-2024"
"05120006-3","sacbad","1988-2024"
"05200006-8","sacbad","1988-2024"
"05200007-6","sacbad","1988-2024"
"05210002-K","sacbad","1988-2024"
"05211003-3","sacbad","1988-2024"
"05211004-1","sacbad","1988-2024"
"05220006-7","sacbad","1988-2024"
"05221005-4","sacbad","1988-2024"
"320007","sacbad","1988-2024"
"320039","sacbad","1988-2024"
"320005","sacbad","1988-2024"
"320012","sacbad","1988-2024"
"320010","sacbad","1988-2024"
"320006","sacbad","1988-2024"
