"fecha","year","month","day","04900002-2","04900003-0","04902003-1","05100006-4","05110003-4","05111001-3","05111002-1","05111004-8","05120003-9","05200006-8","05210002-K","05211003-3","05211004-1","320012"
1988-01-01,1988,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,22.8
1988-01-02,1988,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,25.2
1988-01-03,1988,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,23.6
1988-01-04,1988,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,21.4
1988-01-05,1988,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,20.8
1988-01-06,1988,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,NA,NA,27.6
1988-01-07,1988,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,22.4
1988-01-08,1988,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,NA,NA,NA,21.2
1988-01-09,1988,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,23.4
1988-01-10,1988,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,30.4
1988-01-11,1988,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,26.2
1988-01-12,1988,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,24
1988-01-13,1988,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,NA,NA,30
1988-01-14,1988,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,NA,NA,NA,26.2
1988-01-15,1988,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,29.4
1988-01-16,1988,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,31.2
1988-01-17,1988,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA,27
1988-01-18,1988,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,NA,NA,NA,30.2
1988-01-19,1988,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,28
1988-01-20,1988,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA,NA,24.6
1988-01-21,1988,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,27.4
1988-01-22,1988,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,NA,NA,NA,25.2
1988-01-23,1988,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,26.4
1988-01-24,1988,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,29.2
1988-01-25,1988,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,24
1988-01-26,1988,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,NA,22.6
